point_code,Block,X,Y,Obs,Month,Day,Year,Elevation,Aspect,Slope,Prism,Prism BA (ft2/ac),LL Center,LL rand 1,LL rand 2,Woody Center,Woody rand 1,Woody rand 2,Herb Center,Herb rand 1,Herb rand 2,Fern Center,Fern rand 1,Fern rand 2,Rubus Center,Rubus rand 1,Rubus rand 2,Bare/Rock Center,Bare/Rock rand 1,Bare/Rock rand 2,Moss Center,Moss rand 1,Moss rand 2,CWD Center,CWD rand 1,CWD rand 2,Notes,<1.5m,>1.5m,Total,Transect Length,Std <1.5m,Std >1.5m,distance_to_forest_edge_m,canopy_cover_50m_avg
RK435,SGL089,-77.544899,41.1808014,TMP,7,10,2019,286.5569383,221.1800889,3.147603285,6,60,10,30,50,0,10,10,0,30,0,0,20,10,0,10,0,90,0,30,0,0,0,0,0,0,,0,3,3,10,0,0.3,67.08203888,88.33333333
RK436,SGL089,-77.5084,41.2489014,CJF,7,8,2019,505.3034397,294.6972076,4.485715586,13,130,75,90,85,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,0,12,10,1.2,0,1074.150757,87.44444444
RK437,SGL089,-77.5046997,41.2347984,NWV,7,8,2019,549.272975,211.7156486,0.818083369,12,120,30,40,30,70,60,65,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,,2,1,3,10,0.2,0.1,339.4112549,91.25
RK438,SGL089,-77.5376968,41.1822014,TMP,7,10,2019,318.1011373,181.5663516,2.516100856,9,90,90,50,60,0,10,0,10,20,0,0,20,20,0,0,20,0,0,0,0,0,0,1,0,0,,0,0,0,10,0,0,637.8087769,81.88888889
RK439,SGL089,-77.5428009,41.1833,TMP,7,10,2019,286.5569383,221.1800889,3.147603285,7,70,10,30,50,0,0,20,0,0,0,0,10,30,0,10,0,80,10,0,10,40,0,0,0,0,,3,0,3,10,0.3,0,349.8571167,89.88888889
RK440,SGL089,-77.5022964,41.202301,NWV,7,9,2019,399.9758713,150.3137414,2.04016766,9,90,75,60,40,15,40,40,0,0,0,10,0,0,0,0,0,0,0,5,0,0,20,0,0,0,,7,0,7,10,0.7,0,0,54.44444444
RK441,SGL089,-77.5034027,41.2435989,CJF,7,8,2019,546.21548,301.5097879,2.328558891,15,150,95,90,97,2,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,4,10,0.1,0.3,730.5477295,88.875
RK442,SGL089,-77.5127029,41.1809998,DRS,7,10,2019,274.6526757,146.6288195,1.558578135,15,150,65,65,75,30,35,15,1,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0,,18,0,18,10,1.8,0,254.5584259,85.88888889
RK443,SGL089,-77.5090027,41.2086983,TMP,7,8,2019,428.1864059,194.9085097,2.04311834,7,70,60,60,80,20,30,10,0,0,10,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,,13,6,19,10,1.3,0.6,108.1665344,86.5
RK444,SGL089,-77.4953995,41.2271004,NWV,7,8,2019,513.9547843,148.6509196,2.695427401,10,100,10,50,40,90,45,60,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,,12,11,23,10,1.2,1.1,684.7626953,90.25
RK445,SGL089,-77.501297,41.199501,NWV,7,9,2019,399.9758713,150.3137414,2.04016766,7,70,75,60,70,20,40,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,32,40,10,0.8,3.2,42.42640686,78.11111111
RK446,SGL089,-77.5220032,41.1917992,DRS,7,10,2019,298.1869756,121.623881,2.210554548,20,200,95,90,45,2,7,0,3,0,0,0,3,50,0,0,0,0,0,0,0,0,5,0,2,2,,2,2,4,10,0.2,0.2,483.7354736,86.375
RK447,SGL089,-77.5258026,41.1925011,DRS,7,10,2019,298.1869756,121.623881,2.210554548,7,70,5,35,15,1,60,20,90,0,60,3,3,5,0,0,0,0,0,0,1,2,0,1,1,0,,37,22,59,10,3.7,2.2,607.4537354,90.125
RK448,SGL089,-77.5017014,41.2057991,TMP,7,8,2019,399.9758713,150.3137414,2.04016766,16,160,60,70,20,0,0,10,0,0,0,0,0,0,0,0,0,20,30,70,0,0,0,0,0,0,,0,2,2,10,0,0.2,216.3330688,91.25
RK449,SGL089,-77.5171967,41.1991997,NWV,7,9,2019,302.8789217,168.6202896,2.348223546,11,110,40,70,60,15,30,30,5,0,10,0,0,0,0,0,0,10,0,5,30,0,5,0,0,0,,3,4,7,10,0.3,0.4,0,74.55555556
RK450,SGL089,-77.5112991,41.2537003,CJF,7,8,2019,418.0311588,120.2116022,1.332865445,8,80,60,80,60,30,0,40,0,0,0,0,0,0,0,0,0,5,0,0,5,20,0,0,0,1,,0,13,13,10,0,1.3,1209.338623,86.75
RK451,SGL089,-77.5037003,41.2505989,CJF,7,8,2019,454.2541458,274.6526065,3.37483808,15,150,85,100,65,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,6,7,13,10,0.6,0.7,642.0280151,87.33333333
RK453,SGL089,-77.4946976,41.2419014,NWV,7,8,2019,559.0800176,158.642756,0.262116633,14,140,30,90,85,70,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,,10,0,10,10,1,0,42.42640686,71.4
RK454,SGL089,-77.5280991,41.2172012,CJF,7,9,2019,363.1090184,187.5667255,1.165448564,10,100,85,30,40,5,60,0,0,0,0,0,0,40,0,0,0,10,0,20,0,10,0,1,1,1,,3,3,6,10,0.3,0.3,1248.519165,86.75
RK455,SGL089,-77.4979019,41.2579994,CJF,7,3,2019,505.2171022,248.994584,2.051964461,15,150,95,85,50,2,0,0,0,0,0,0,0,30,0,0,0,0,0,5,3,15,15,0,1,0,,5,2,7,10,0.5,0.2,579.3962402,84.77777778
RK456,SGL089,-77.5245972,41.2075005,CJF,7,9,2019,367.4336808,119.1035648,2.177836997,12,120,20,90,73,0,0,5,20,0,0,60,0,20,0,0,2,0,5,0,0,5,0,0,0,0,,9,2,11,10,0.9,0.2,785.1751099,88.375
RK457,SGL089,-77.5167999,41.1921005,DRS,7,10,2019,270.6875915,192.7821686,2.21329569,22,220,92,70,55,5,30,0,0,0,1,0,0,0,0,0,0,0,0,30,3,0,14,0,0,1,,3,0,3,10,0.3,0,189.7366638,83.5
RK458,SGL089,-77.5168991,41.1889,DRS,7,10,2019,270.6875915,192.7821686,2.21329569,6,60,85,97,60,0,3,5,0,0,10,0,0,5,0,0,0,15,0,15,0,0,5,0,0,0,,17,13,30,10,1.7,1.3,67.08203888,84.66666667
RK459,SGL089,-77.501503,41.2181015,TMP,7,8,2019,469.8795369,161.8254552,2.669757882,10,100,70,80,60,20,20,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,1,0,,6,1,7,10,0.6,0.1,690.6518555,90.55555556
RK460,SGL089,-77.5356979,41.1769981,CJF,7,10,2019,250.0554841,198.0001638,1.256541103,15,150,50,60,10,5,0,30,40,40,60,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,3,1,4,10,0.3,0.1,384.1874695,81.25
RK461,SGL089,-77.5283966,41.196701,DRS,7,10,2019,372.3302369,124.4809765,2.731079161,13,130,50,90,45,19,10,52,1,0,0,0,0,1,0,0,0,5,0,0,25,0,2,0,0,0,,42,1,43,10,4.2,0.1,590.9314575,89.66666667
RK462,SGL089,-77.5143967,41.2198982,TMP,7,9,2019,483.2400195,223.6642307,3.925734185,14,140,90,70,65,10,10,20,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,10,0,0,134.1640778,78.875
RK463,SGL089,-77.5147018,41.2170982,TMP,7,9,2019,411.1884683,226.1823058,3.417220033,14,140,50,60,70,30,20,20,0,10,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,1,,0,0,0,10,0,0,234.3074951,70
RK464,SGL089,-77.5183029,41.2162018,TMP,7,9,2019,411.1884683,226.1823058,3.417220033,10,100,45,70,90,0,10,0,10,0,0,10,0,0,0,0,0,35,20,10,0,0,0,0,0,0,,0,0,0,10,0,0,540.8326416,91.77777778
RK465,SGL089,-77.5124969,41.2102013,TMP,7,9,2019,428.1864059,194.9085097,2.04311834,12,120,80,55,70,0,0,0,0,0,0,10,30,10,0,0,0,10,15,20,0,0,0,1,0,1,,0,0,0,10,0,0,308.868927,92
RK466,SGL089,-77.5170975,41.2071991,NWV,7,9,2019,354.9368675,215.7449912,2.678735551,7,70,20,25,45,20,5,15,0,10,0,10,60,0,10,0,0,30,0,30,10,0,10,0,0,0,,2,0,2,10,0.2,0,466.6904602,90
RK467,SGL089,-77.5095978,41.2032013,NWV,7,9,2019,425.4922413,214.96332,2.904637144,6,60,30,75,50,0,15,10,0,5,0,70,5,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,7,10,0,0.7,150,82.875
RK468,SGL089,-77.5129013,41.2002983,NWV,7,9,2019,351.8471919,208.1930846,3.98731539,4,40,25,85,90,15,15,5,5,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,10,0,0.5,60,86.66666667
RK469,SGL089,-77.512001,41.2057991,NWV,7,9,2019,425.4922413,214.96332,2.904637144,14,140,20,65,100,0,10,0,0,5,0,65,0,0,0,0,0,0,15,0,15,5,0,0,0,1,,1,1,2,10,0.1,0.1,150,87.125
RK470,SGL089,-77.5333023,41.2060013,CJF,7,9,2019,414.5397625,134.244044,2.292961122,11,110,97,90,85,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,,0,3,3,10,0,0.3,84.85281372,84.44444444
RK471,SGL089,-77.530899,41.2042007,CJF,7,9,2019,367.4336808,119.1035648,2.177836997,7,70,80,10,65,10,0,10,0,0,0,5,90,25,0,0,0,0,0,0,5,0,0,0,0,0,,1,9,10,10,0.1,0.9,150,85.77777778
RK472,SGL089,-77.5330963,41.1968002,DRS,7,10,2019,372.3302369,124.4809765,2.731079161,5,50,90,90,85,2,5,15,2,2,0,0,3,0,3,0,0,0,0,0,3,0,0,,0,0,,1,5,6,10,0.1,0.5,630.7138672,83.22222222
RK473,SGL089,-77.528801,41.1875,CJF,7,9,2019,335.355951,140.2730433,2.02066095,4,40,65,65,85,10,10,5,0,0,0,10,15,5,0,0,0,5,0,0,10,10,5,0,2,0,,0,15,15,10,0,1.5,636.3961182,77.66666667
RK474,SGL089,-77.5335999,41.1892014,CJF,7,9,2019,335.355951,140.2730433,2.02066095,5,50,20,40,45,5,15,0,0,3,10,75,40,40,0,2,5,0,0,0,0,0,0,1,1,0,,2,0,2,10,0.2,0,1070.794189,84
RK475,SGL089,-77.5348969,41.1918983,TMP,7,10,2019,335.355951,140.2730433,2.02066095,9,90,50,70,60,10,0,10,0,0,10,40,30,20,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,10,0,0,1200.374878,84.875
RK476,SGL089,-77.5416031,41.1896019,TMP,7,10,2019,333.6569185,222.5223266,3.466152302,9,90,50,55,50,20,15,20,0,30,20,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,2,1,3,10,0.2,0.1,757.1657715,86.22222222
RK477,SGL089,-77.5381012,41.1889992,TMP,7,10,2019,333.6569185,222.5223266,3.466152302,7,70,60,40,60,10,20,20,10,30,10,0,0,0,10,0,10,20,0,0,0,10,0,0,0,0,,3,0,3,10,0.3,0,979.489624,80.1
RK478,SGL089,-77.5389023,41.1855011,TMP,7,10,2019,286.5569383,221.1800889,3.147603285,12,120,70,75,80,20,15,20,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1,,11,2,13,10,1.1,0.2,745.1845703,87.66666667
RK479,SGL089,-77.5369034,41.1801987,TMP,7,10,2019,318.1011373,181.5663516,2.516100856,8,80,45,40,50,15,20,30,0,0,10,10,30,10,0,0,0,0,10,0,20,0,0,0,1,0,,0,0,0,10,0,0,534.1347656,86.11111111
RK480,SGL089,-77.5279007,41.1759987,CJF,7,10,2019,251.9633373,176.7854216,0.77238499,14,140,85,90,65,10,10,5,5,0,15,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,,0,3,3,10,0,0.3,364.9657593,85.625
RK481,SGL089,-77.5245972,41.1713982,CJF,7,10,2019,251.9633373,176.7854216,0.77238499,14,140,75,40,8,15,0,5,5,0,2,0,60,85,5,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,10,0.1,0,295.4657288,86.22222222
RK482,SGL089,-77.5214996,41.1716003,CJF,7,10,2019,247.4458103,354.2548637,0.886706713,11,110,80,75,15,15,20,20,5,0,5,0,0,60,0,5,0,0,0,0,0,0,0,1,1,0,,3,1,4,10,0.3,0.1,270,85.88888889
RK483,SGL089,-77.5210037,41.2193985,TMP,7,9,2019,390.0526995,240.4411999,3.379208694,11,110,20,80,70,0,20,30,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,1,,23,2,25,10,2.3,0.2,685.4195557,89.44444444
RK484,SGL089,-77.5199966,41.2122993,TMP,7,4,2019,411.1884683,226.1823058,3.417220033,3,30,85,90,80,15,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,6,6,10,0,0.6,873.6131592,94
RK485,SGL089,-77.4998016,41.2280006,NWV,7,8,2019,518.1656263,175.2159571,2.440113825,11,110,0,45,0,10,10,0,0,15,0,90,0,100,0,0,0,0,30,0,0,0,0,0,0,0,,0,0,0,10,0,0,488.3645935,84.5
RK486,SGL089,-77.4982986,41.200901,NWV,7,9,2019,399.9758713,150.3137414,2.04016766,8,80,60,5,20,20,95,70,0,0,0,0,0,5,0,0,0,15,0,0,5,0,5,0,0,1,,8,1,9,10,0.8,0.1,268.3281555,76.25
RK487,SGL089,-77.5049973,41.1994019,NWV,7,9,2019,399.9758713,150.3137414,2.04016766,14,140,75,65,85,20,25,10,5,5,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,,,15,1,16,10,1.5,0.1,0,6.875
RK488,SGL089,-77.5050964,41.2030983,NWV,7,9,2019,399.9758713,150.3137414,2.04016766,18,180,40,45,70,40,30,20,20,0,0,0,10,10,0,0,0,0,10,0,0,5,0,0,0,0,,1,0,1,10,0.1,0,108.1665344,81
RK001,SGL034,-78.3346024,41.2485008,"HAP, JTL",6,19,2020,665.5835467,275.3451852,0.374807859,12,120,45,85,70,10,5,0,20,20,5,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,10,0.2,0.1,150,86.25
RK002,SGL034,-78.3337021,41.2456017,"HAP, JTL",6,19,2020,665.5835467,275.3451852,0.374807859,3,30,24,23,27,5,10,40,70,5,30,0,60,0,1,2,0,0,0,0,0,0,3,0,1,0,,13,1,14,10,1.3,0.1,0,58.77777778
RK003,SGL034,-78.3314972,41.2424011,"HAP, JTL",6,19,2020,663.0638727,87.57873084,0.523501344,3,30,54,80,65,0,20,35,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,4,6,10,0.2,0.4,189.7366638,80.44444444
RK004,SGL034,-78.3276978,41.2504005,"HAP, JTL",6,19,2020,656.9286267,347.9454528,0.701492061,12,120,52,30,70,0,2,0,0,0,25,45,65,0,2,0,5,0,0,0,1,3,0,0,0,0,,1,2,3,10,0.1,0.2,466.6904602,84.125
RK005,SGL034,-78.3256989,41.2486992,"HAP, JTL",6,19,2020,663.0638727,87.57873084,0.523501344,11,110,65,55,100,0,30,0,0,15,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,10,0.2,0,483.7354736,86.25
RK006,SGL034,-78.3190994,41.2440987,"HAP, JTL",6,19,2020,644.3120178,94.85382183,1.249313851,5,50,97,65,88,1,10,9,1,7,1,0,15,0,0,0,0,0,3,0,1,0,2,0,1,0,,6,1,7,10,0.6,0.1,595.4830322,79
RK007,SGL034,-78.3119965,41.2322006,"HAP, JTL",6,24,2020,626.008714,71.57613356,1.47300454,7,70,7,10,3,3,0,2,15,60,30,75,30,65,0,0,0,0,0,0,0,0,0,0,0,0,,39,0,39,10,3.9,0,42.42640686,69.42857143
